SL No.,CODE,Owner,CC,Clinic Type,S Type,Combo Store,Interior Format,Located,Region,Distrt,Metro /Non-Metro,State,RBM,AM,Contact No,Email ID,City,Location,Opening Date,Store Convt,EMAIL ID2,Ph No.,Store Manager,Address,Pincode,Franchisee Name,Mobile no,Store Name / Firm Name,Franchisee E Mail ID,Carpet Area,Retail Area,Rent,Signage,SUR Code,Pincode2
520,TBBM,Fr,7905,N,N,Regular,Blue,,South 2,Bangalore ,Metro,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,BTM Layout,3/27/2019,,tbbm@titan.co.in,080-41723827,,"# 737 C, Viralam Mansion,GF,Rashtrakavi Kuvempu nagar,BTM layout,Bangalore-560076",-560076,Padmalata prasad,9632220106,Anantha Enterpeise,tepbtm@gmail.com,405,252,,New,Sount 2,560076
12,TBMA,MA,6906,BL,N,WOT,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Malleswaram,6/8/2008,,tbma@titan.co.in,080-41281575 ,Giridhar D,"Titan Eye+, #116, ""Krishna Arcade"" B/W 12th cross & 11th Cross, 3rd Main, Margosa Road, Near Nalli Silks, Malleshwaram, Bangalore - 560003", 560003,Abhishek,,Eye Square,cnabhishek@gmail.com,1603,1282,1.8,New,Sount 2,560003
518,TBNV,Fr,8993,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Annapoorna,8861352300,annapoorna@titan.co.in,Bangalore,Nagarbhavi,3/5/2019,,tbnv@titan.co.in,8023215550,Naveen.m,"Titan Eye Plus, No.751, Nagarabhavi Village, Yeshwanthapura Hobli, Bangalore - 560072", 560072,Harish R,9845163055,Maa Retail Pvt Ltd,harish@maa.co.in,460,615,,New,Sount 2,560072
516,TBPD,Fr,7917,N,N,Regular,Blue,,South 2,bangalore,Metro,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Padmanabanagar,2/28/2019,,tbpd@titan.co.in,8250019442,Nabin Chandra Shil,"Titan Eye Plus, No.40 (Old 63) , Subramanyapura Main Road, 80th Feet Road, Opp. Indian Oil Petrol Pump , padmanabanagar. Bangalore-560061",-560061,Suresh Bhandari,9591082665 / 9845031513,Vogue Clothing,sureshbhandari@vvpl.net,600,480,,New,Sount 2,560061
515,TBSY,Fr,7908,N,N,Regular,Blue,,South 2,bangalore,Metro,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Sanjaynagar,2/28/2019,,tbsy@titan.co.in, 9036383658 / 080 40976484, Bhumika,"Titan Eye Plus, No. 255, A.E.C.S. Layout, Sanjaynagar Main Road, Near Indian Oil Petrol Pump, Ashwathnagar, Geddalahalli, Bangalore - 560 094",560 094,Suresh Bhandari,9591082665 / 9845031513,Vogue Clothing,sureshbhandari@vvpl.net,476,381,,New,Sount 2,560094
514,TBJG,MA,7906,N,N,Regular,Blue,,South 2,bangalore,Metro,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Jayanagar 3rd block,2/28/2019,,tbjg@titan.co.in,8078524099,Shilpa,"Titan Eye Plus, No.202/E,Kaveri Nilaya, 27th cross,7th Main Road,3rd Block,Jayanagar,Bangalore- 560011 ",560011 ,Darshan G Narvekar,8208931435,Darshan Ventures,darshan.gurudas@gmail.com,725,580,,New,Sount 2,560032
504,TBYK,Co,8983,N,N,Regular,Blue,,South 2,bangalore,Metro,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,RMZ Yelahanka,1/9/2019,,tbyk@titan.co.in,080-68137490,Haseem,"Titan Eye Pus,1st floor, RMZ Galleria Mall, Yelahanka, Bangalore - 560064", 560064,Company store ,Company store ,Titan Eye Plus,Company Store,396,279,,New,Sount 2,560064
495,TBKK,Fr,8986,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Vajarahalli,11/30/2018,,tbkk@titan.co.in,7975252324,Manoj,"Titan Eye Plus,Survery No.86/1,GF,Vajarahalli, Kanankapura Road, Bangalore - 560062", 560062,Harsha / Shweta,9731002329,Avirmukhi Enterprises,mallik1946@gmail.com,917,594,,New,Sount 2,560062
493,TBKI,Fr,8985,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Annapoorna,8861352300,annapoorna@titan.co.in,Bangalore,Kengeri,11/28/2018,,tbki@titan.co.in,9051355556,Manoj Kumar K,"Titan Eye Plus,No.488/1121,Khatha No.297, Satellite Town, Kengeri, Bangalore - 560060", 560060,Mallikarjuna Swamy B T,8747998811,Threeyess Visuals,gm6378@gmail.com,610,430,,New,Sount 2,560060
464,TBRJ,Fr,8960,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9743066142,kalyani@titan.co.in,Bangalore,Rajajinagar,4/17/2018,,tbrj@titan.co.in,8884475666,Vijay Kumar,"Titan Eye Plus,No.21, old 151Y, 50th Cross road, 3rd block Rajajinagar, Bangalore - 560010", 560010,Valarmathi,9448380198,Smart Eye Care,smarteyecare3@gmail.com,602,475,,New,Sount 2,560010
462,TBRM,MA,8956,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Ramurthynagar,3/25/2018,,tbrm@titan.co.in,080-43009343,Sreenivas ,"Titan Eye Plus,No.46/1, Nxt to D-Mart,Channa sandra grama, KR puram hobli, Ramurthynagar, Bangalore - 560016", 560016,Ganesh S H,9611999466,Srish Enterprises,srish2003@gmail.com,945,770,,New,Sount 2,560016
461,TBVP,Fr,8959,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Shravan,9743066142,kalyani@titan.co.in,Bangalore,vidyaranyapura,3/10/2018,,tbvp@titan.co.in,080-43020658,,"Titan Eye Plus,No.956,5th Block,BEL Layout Main road, Vidyaranyapura,Bangalore-560097",-560097,Hadi Abdul Majeed Abdul,9025124111,Hadi Enterprises,hadi.enterprises18@gmail.com,640,426,,New,Sount 2,560097
434,TBSJ,Fr,8896,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Sarjapur Road,10/30/2017,,tbsj@titan.co.in,080-43707415,Prem,"Titan Eye Plus,Unit No - F 10, Market Square Mall, Kaikondarhalli Village, Varthur, Varthur Hobli, Sarjapura Main road, Bangalore - 560037", 560037,S. Murugan,9972733552,Vishnu Retail,muru_ng@rediffmail.com,608,494,,New,Sount 2,560037
425,TBKM,Co,8893,M,Hstreet,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Koramanagala 2,9/28/2017,,tbkm@titan.co.in,080-49510161,Farooq,"Titan Eye Plus,No.582, KCA Enclave, 80ft road, 8th Blk, Opp to Bethany School Kormangala, Bangalore - 560095", 560095,Company store ,Company store ,Titan Eye Plus,Company Store,1218,1024,,New,Sount 2,560095
418,TBHJ,Fr,8877,N,Hstreet,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,HSR Lyt 2,8/24/2017,,tbhj@titan.co.in,080 - 48148056,,"Titan Eye Plus,No.445, 16th A cross,JKN Towers, 5th Main Road, Sector 6, HSR Layout, Bengaluru -560102",-560102,Ganesh S H,9611999466,Srish Enterprises,srish2003@gmail.com,965,717,0.8,New,Sount 2,560102
26,TBBK,Fr,8835,C,N,WOT,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Niharika,9742560025,shravan@titan.co.in,Bangalore,Banashankari,9/30/2008,,tbbk@titan.co.in,080 -26690676 ,Deeptha,"Titan Eye+,No.288, 100ft outer Ring Road 4th Phase, 7th Block, 3rd stage Banashankari, Bangalore - 560085", 560085,Padmalata prasad,,Sri Maruthi Enterprises,ramaprasadar@gmail.com,1229,1951,1,New,Sount 2,560085
411,TBJV,Co,8878,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Niharika,9632569888,karthikmg@titan.co.in,Bangalore,Jeevan Bimanagar,6/30/2017,,tbjv@titan.co.in,080-48144867,Rahul,"Titan Eye Plus,Shop M 26, Jeevanbima Nagar Main Road, HAL 3rd stage, Bangalore- 560075", 560075,Company store ,Company store ,Titan Eye Plus,Company Store,754,501,,New,Sount 2,560075
384,TBJP,Fr,8868,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,JP Nagar,2/28/2017,,tbjp@titan.co.in,080-26642441,Sadkshari,"Titan Eye+,9B, ""Srinidhi"", 24th Main Road, JP Nagar 5th Phase, Bangalore - 560 078",560 078,Raghavendra N P,9886850546,RR & Co,raghavnp@gmail.com,820,650,,New,Sount 2,560078
377,TBKD,Fr,8867,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,kaggadasapura,1/31/2017,,tbkd@titan.co.in,080-25344797,Lawrence Anthony,"Titan Eye +, No.53, GF, KH Road, Maruthi Nagar, Malleshpalya Extn,Kaggadaspura, Bangalore - 560075", 560075,Valarmathi,9448380198,Smart Eye Care,smarteyecare3@gmail.com,713,520,,New,Sount 2,560075
330,TBRW,Fr,8836,N,N,Regular,Blue,,South 2,Bangalore,Metro,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,R R Nagar,6/17/2016,,tbrw@titan.co.in,080-29701555,Ravi Kumar,"Titan Eye+,No.5,GF,12th Cross Road, Ideal Home Towship,Rajarajeshwari nagar, Bangalore - 560098", 560098,Rekha Madhusudan,9210999999 / 9243409818,Rekha ventures,mmandyam@gmail.com,544,413,,New,Sount 2,560098
294,TBSA,Fr,8809,N,N,Regular,Blue,,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Sahakarnagar,11/11/2015,,tbsa@titan.co.in,080-23625333,Kazim,"Titan Eye+, Rithik Plaza, # 2386 & 2387, 60Feet road, E Block, Sahakarnagar, Bangalore - 560092", 560092,A K Shabeer,8123455200,Platinum Retail,Shabeer_kollam@yahoo.co.in,873,560,0.9,New,Sount 2,560092
246,TBMG,Co,6453,M,N,Helios / WOT/Fastrack,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,M.G Road,2/26/2015,,tbmg@titan.co.in,080-43703815,Mr Satish,"Titan Eye+,77 & 78, M G Road, Next To Deccan Herald Office, Bangalore - 560001", 560001,Company store ,Company store ,Titan Eye Plus,Company Store,1200,1000,2.8,New,Sount 2,560001
227,TBSE,Co,6354,SIS,SIS,SIS,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9743066142,kalyani@titan.co.in,Bangalore,Star Extra,10/19/2014,,tbse@titan.co.in,080-42048241 ,Prasantha N V,"Titan Eye+,SRJ Construction,Opp.to Shankara Eye Hospital, Kundalahalli gate, Varthur Road, Whitefield, Bangalore - 560037", 560037,Company store ,Company store ,Titan Eye Plus,Company Store,404,310,,New,Sount 2,560037
219,TBGT,Fr,6364,N1,N,Regular,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Bannerghatta,9/9/2014,,tbgt@titan.co.in,080-48666563 / 42180017,Rajendra Prasad ,"Titan Eye+, Meu Square, No.174/1, Bannerghatta Road, J.P Nagar 3rd Phase (Opp.KFC Buildling), Bilekahalli Village, BegurHobli, Bangalore - 560076 ",560076 ,Sanjeev Kejriwal,9831005708,Metal Arts Enterprise,sanjeevkejariwal@gmail.com,877,,0.78,New,Sount 2,560076
212,ISBP,MA,8687,N,Mall,Regular,Orange,1st Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Phoenix Mall,7/31/2014,,isbp@titan.co.in,080-49626574,Dinesh ,"Titan Eye+,No.F-66, 1st Floor, Nxt to croma, Phoenix Mall, Mahadevpura, ITPL Main Road, Bangalore - 560048", 560048,H.Chandra Sekhar Gowda,9972004455,Akshata Retail,hcsgowd@gmail.com,768,630,2.8,New,Sount 2,560048
171,TBMT,Fr,8855,N2,N,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Marathahalli,6/28/2013,,tbmt@titan.co.in,080-48509715,,"Titan Eye+, No.90 /2-3,G floor, nxt to WOT outer ring road, Opp.Innovative Multiplex, Marathalli, Bangalore - 560037", 560037,S. Murugan,9972733552,Vishnu Retail,muru_ng@rediffmail.com,873,,1.24,New,Sount 2,560037
167,TBHK,Co,6470,SIS,HC,SIS,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9743066142,kalyani@titan.co.in,Bangalore,Inorbit Mall Hypercity,4/11/2013,,tbhk@titan.co.in,080 - 28029928,Barkath,"Titan Eye+,Hypercity,LGF,Inorbit Mall,Nxt to sathya Sai Baba Hospital,Whitefield,Bangalore - 560066", 560066,Company store ,Company store ,Titan Eye Plus,Company Store,501,180,,New,Sount 2,560066
162,TBYH,Fr,6975,N2,N,Regular,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Yelahanka,1/18/2013,,tbyh@titan.co.in,080 - 48529919/48539919,Silvia Balaraj,"Titan Eye+, #2336 MIG, Ground Floor 16th Cross, 3rd Phase Yelahanka New town, Near Dr.Agarwal Eye Hospital, Bangalore - 560064", 560064,Naveen / Meena,9845757663,Lameena Enterpises PVt Ltd,cethtv@gmail.com,698,,0.55,New,Sount 2,560064
120,TBEI,Co,6965,N1,N,Regular,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9743066142,kalyani@titan.co.in,Bangalore,Electronic city,7/14/2011,Nov'17,tbei@titan.co.in,080-48140418,Naveen Kumar,"Titan Eye+,No.9, Konapanna Agrahara Village, Opp Infosys Cricket Ground Gate No-3, Begur Hobli, 1st phase Electronic City Bangalore-560100",-560100,Company store ,Company store ,Titan Eye Plus,Company Store,812,,0.56,New,Sount 2,560100
117,TBHS,Co,6969,SIS,HC,SIS,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9743066142,kalyani@titan.co.in,Bangalore,Hyper City Mall (Kundalahalli),6/9/2011,,tbhs@titan.co.in,080-42087634 ,Mr.Siddappa Kalyani,"Titan Eye+, Embassy Paragon, GF, Nr. Kundalahalli Gate, ITPL road,  Near Brooke Field,  Bangalore – 560 037 ",60 037 ,Company store ,Company store ,Titan Eye Plus,Company Store,293,200,,New,Sount 2,560037
112,TBSH,Co,6949,N1,N,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,HSR Layout,5/28/2011,,tbsh@titan.co.in,080-22583062 / 63,Surpeeth,"Titan Eye+, No. 2795, Sector I, HSR Layout, 27th Main Road, Bangalore - 560034", 560034,Company store ,Company store ,Titan Eye Plus,Company Store,715,440,0.91,New,Sount 2,560034
102,TBJB,Fr,8863,N1,N,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Jayanagar (9th Block),2/28/2011,Apr'17,tbjb@titan.co.in,080-41229988,Arun Kumar,"Titan Eye+,No. 1139, 26th A Main, 9th Block, Jayanagar, Bangalore-560069",-560069,Kamlesh /  Kumar Kethan,9886822177,Trendz Eye Care,eyeplus@rediffmail.com,702,620,0.86,New,Sount 2,560069
96,TBWT,MA,8892,N1,N,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,Whitefield,1/22/2011,Aug'17,tbwt@titan.co.in,080-28456004 / 49571006 ,Karthigayan V,"Titan Eye+,# 75/2, Survey  No. 14, Whitefield  main Road, near Forum Value Mall, next To Foodworld, Whitefield, Bangalore 66. Ph:28456004",8456004,Darshan G Narvekar,8208931435,Darshan Ventures,darshan.gurudas@gmail.com,478,320,0.98,New,Sount 2,560066
92,TBRN,Fr,8851,N1,N,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Karthik,9632569888,karthikmg@titan.co.in,Bangalore,R T Nagar,1/5/2011,Nov'16,tbrn@titan.co.in,080 -23333237 / 7349468468,Hemanth Kumar P,"Titan Eye+,No 2, RT Nagar Mainroad, Opp To Axis Bank.Bangalore - 560032", 560032,Ganesh S H,9611999466,Srish Enterprises,srish2003@gmail.com,616,,0.79,New,Sount 2,560032
72,ISBW,MA,8685,N2,N,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Wheelers Road,7/17/2010,Aug'17,isbw@titan.co.in,080- 41250143,Rakesh Kumar,"Titan Eye+, Plot no 3,Shop B (Next to Aircel),Wheelers road,Fraser town,Bangalore-560005",-560005,Ketan Kumar N Shah,,PARAS EYE CARE,eyeplus@rediffmail.com,929,420,0.91,New,Sount 2,560006
65,TBGM,Fr,6948,M3,N,Regular,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Gandhibazzar,5/12/2010,,tbgm@titan.co.in,080-41203574 ,Thouseef,"Titan Eye+,No 82/1,Gandhi Bazaar Main Road,Ashrama Circle, Next To HSBC,Basavangudi,Bangalore.560004",.560004,Kamlesh /  Kumar Kethan,9886822177,Trendz Eye Care,eyeplus@rediffmail.com,1314,,1.32,New,Sount 2,560004
61,TBKH,Co,6944,N1,N,Regular,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Niharika,9743066142,kalyani@titan.co.in,Bangalore,Kammanahalli,3/31/2010,,tbkh@titan.co.in,080-25447790,Murali Krishna  ,"Titan Eye+, Plot No 4C-329,3rd Block,HRBR Extension, Kammanahalli, Bangalore-560043",-560043,Company store ,Company store ,Titan Eye Plus,Company Store,959,800,,New,Sount 2,560043
58,TBBW,Fr,6940,N1,N,Regular,Orange,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,Basaveshwar Nagar,2/25/2010,,tbbw@titan.co.in,080- 42151218,Ketan,"Titan Eye+,No 325 , 1st Cross ,8th Main 3rd Cross ,4th Block Basaveshwarnagar,Bangalore - 560079 ",560079 ,Kamlesh /  Kumar Kethan,9886822177,Trendz Eye Care,eyeplus@rediffmail.com,775,,1.14,New,Sount 2,560079
54,TBEL,Co,6934,5R,Hstreet,Regular,Blue,G Floor,South 2,Bangalore,Metro  ,Karnataka,Mayank,Shravan,9742560025,shravan@titan.co.in,Bangalore,BEL Road,5/15/2009,,tbel@titan.co.in,080-41225867,Mr. Sandesh H,"Titan Eye+, 199, Sneha Complex, New BEL Rd , Nr HP Petrol Pump ,Devasandra, Bangalore 54",lore 54,Company store ,Company store ,Titan Eye Plus,Company Store,800,600,1.3,New,Sount 2,560094
559,IWMS,MA,5026,N,N,Regular,,,West,Mumbai,Metro,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Mulund Station Rd,10/6/2019,,iwms@titan.co.in,02225605992/9714542998,Hetal Vaghela,"Titan Eye+,Shop No-5, Vikas Center , G/F, S L road, Market, Mulund West, Mumbai , Maharastra- 400080", 400080,Sangeet M Saha,9172140868 / 9820959234,Saavee Retail,saaveeretail@gmail.com,721,497,,New,West 2,400080
551,IWMV,Co,5011,N,N,Regular/LFS TEP,,,West,Thane,Metro,Maharastra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,Vivina Mall -Thane Shopperstop,8/1/2019,,iwmv@titan.co.in,9324370592,sagar khavale,"Titan eyeplus shoppers Stop Viviana Mall, Thane, Maharastra-400601",-400601,CompanyStore,CompanyStore,CompanyStore,CompanyStore,,,,New,West 2,400601
550,IWMI,Co,5010,N,N,Regular/LFS TEP,,,West,Vashi,Metro,Maharastra,Koshy,Anubrato,9685436643,anubratom@titan.co.in,Mumbai,Vashi Shoppers stop,8/1/2019,,iwmi@titan.co.in,7021832504,Subramanian Shanmugam ,"Titan eyeplus, Shopper Stops,Inorbit Mall,Vashi,Navi,Mumbai,Maharastra-400703",-400703,CompanyStore,CompanyStore,CompanyStore,CompanyStore,,,,New,West 2,400703
549,IWMM,Co,8699,N,N,Regular/LFS TEP,,,West,Malad,Metro,Maharastra,Koshy,Nikita,9873804634,nikitagautam@titan.co.in,Mumbai,Malad Shoppers stop,8/1/2019,,iwmm@titan.co.in,,,"Titan eyeplus, Ground Floor,Shoppers Stop,Inorbit Mall,Link Road,Malad West,Mumbai, Maharastra-400064",-400064,CompanyStore,CompanyStore,CompanyStore,CompanyStore,,,,New,West 2,400064
531,TANP,Fr,8611,N,N,WOT,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Mukesh,9822914075,mukeshkumar@titan.co.in,Mumbai,"StationRoad,Navipet",5/6/2019,,tanp@titan.co.in,2412417000,JYOTSNA PUND,"SOHAM ENTERPRISES, 3720/A, Soham Krishna, Bhausaheb Firodia Path, Navipeth, Ahmednagar - 414001", 414001,Gaurav Firodia,9890048565,Soham Enterprises,gauravf@kalpattaruindia.co.in,1169,,,New,West 2,414001
519,TMLP,Co,8627,N,N,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Mangesh,9819767498,mangesh@titan.co.in,Mumbai,HSP- Lower Parel,3/18/2019,,tmlp@titan.co.in,8080005846 ,KAPIL ARTANI  ,"G-16,High Street, Phoenix Mall, SBP Marg,Lower Parel, Mumbai - 400013", 400013,Company store ,Company store ,Titan Eye Plus,Company Store,515,437,,New,West 2,400013
500,TMSW,Fr,8783,N,N,Regular,Blue,,West,Mumbai,Metro,Maharashtra,Koshy,Siju,9685436643,siju@titan.co.in,Mumbai,Seawoods,12/20/2018,,tmsw@titan.co.in,022-49785494,,"Titan Eye Plus,Shop No. 7 & 8, Shree Ambika Apartment, Plot No. 10, Sector 42A, Seawoods, Navi Mumbai 400 706",400 706,Sahil Gupta,9437030000,SGBL India Ltd,jmd_bbsr@yahoo.co.in,690,480,,New,West 2,400706
